"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 16:24:30 MSK 2025","Sun Jun 29 16:24:37 MSK 2025","6654","","OrderCreationTest","","OrderCreationTest","createOrderWithoutRegistration","Создание заказа без авторизации",""
"passed","Sun Jun 29 16:24:43 MSK 2025","Sun Jun 29 16:24:43 MSK 2025","813","","OrderCreationTest","","OrderCreationTest","createOrderWithoutIngredients","Создание заказа без ингредиентов",""
"passed","Sun Jun 29 16:24:44 MSK 2025","Sun Jun 29 16:24:44 MSK 2025","445","","UserCreationTest","","UserCreationTest","newUserExisting","Создать существующего пользователя",""
"passed","Sun Jun 29 16:24:42 MSK 2025","Sun Jun 29 16:24:43 MSK 2025","1061","","OrderCreationTest","","OrderCreationTest","createOrderWithBadHash","Создание заказа с неверным хешем ингредиентов",""
"passed","Sun Jun 29 16:24:44 MSK 2025","Sun Jun 29 16:24:44 MSK 2025","332","","UserCreationTest","","UserCreationTest","newUserCreate","Создать пользователя",""
"passed","Sun Jun 29 16:24:43 MSK 2025","Sun Jun 29 16:24:44 MSK 2025","243","","UserCreationTest","","UserCreationTest","newUserWithoutPole","Создать пользователя без одного поля",""
"passed","Sun Jun 29 16:24:45 MSK 2025","Sun Jun 29 16:24:45 MSK 2025","207","","UserLoginTest","","UserLoginTest","loginNoUser","Логин несуществующего пользователя",""
"passed","Sun Jun 29 16:24:37 MSK 2025","Sun Jun 29 16:24:42 MSK 2025","4481","","OrderCreationTest","","OrderCreationTest","createOrderWithRegistration","Создать заказ с авторизацией",""
"passed","Sun Jun 29 16:24:44 MSK 2025","Sun Jun 29 16:24:45 MSK 2025","580","","UserLoginTest","","UserLoginTest","loginUser","Логин пользователя",""
